orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;13534.23
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;896.4
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Serviços de Telecomunicações;SERVICOS DE TELECOMUNICACOES;784.77
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;4000.25
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Tecnologia da Informação e Comunicação;MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES;1775.79
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Tecnologia da Informação e Comunicação;SUPORTE DE INFRAESTRUTURA DE TIC;59166.26
MINISTÉRIO DA CULTURA;FUNDAÇÃO CULTURAL PALMARES;Passagens e Despesas com Locomoção;AUXILIO-TRANSPORTE ESTAGIARIOS;1120
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Diárias;DIARIAS NO PAIS;47121.79
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Combustíveis e Lubrificantes;COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;6873.04
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL DE EXPEDIENTE;130.49
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL DE COPA E COZINHA;1640.8
MINISTÉRIO DAS COMUNICAÇÕES;MINISTÉRIO DAS COMUNICAÇÕES;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;1679164.49
MINISTÉRIO DAS COMUNICAÇÕES;MINISTÉRIO DAS COMUNICAÇÕES;Apoio Administrativo, Técnico e Operacional;FESTIVIDADES E HOMENAGENS;0
MINISTÉRIO DAS COMUNICAÇÕES;MINISTÉRIO DAS COMUNICAÇÕES;Serviços de Comunicação em Geral;SERVICOS DE COMUNICACAO EM GERAL;5555.45
MINISTÉRIO DAS COMUNICAÇÕES;MINISTÉRIO DAS COMUNICAÇÕES;Apoio Administrativo, Técnico e Operacional;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;831.64
MINISTÉRIO DAS COMUNICAÇÕES;MINISTÉRIO DAS COMUNICAÇÕES;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;2000
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Apoio Administrativo, Técnico e Operacional;FORNECIMENTO DE ALIMENTACAO;304208.96
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;820090.84
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;454880.59
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Serviços de Comunicação em Geral;SERVICOS DE COMUNICACAO EM GERAL;3518.01
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Apoio Administrativo, Técnico e Operacional;SERVICO DE SELECAO E TREINAMENTO;1973.5
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Serviços de Telecomunicações;SERVICOS DE TELECOMUNICACOES;28806.52
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Serviços de Comunicação em Geral;SERVICOS DE AUDIO, VIDEO E FOTO;1693
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;13306.5
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Vigilância Ostensiva;VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO;6048
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Apoio Administrativo, Técnico e Operacional;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;391441.59
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Tecnologia da Informação e Comunicação;LOCACAO DE SOFTWARES;1015.4
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Tecnologia da Informação e Comunicação;MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES;10141.8
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Tecnologia da Informação e Comunicação;SUPORTE DE INFRAESTRUTURA DE TIC;1316
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;4983.29
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Tecnologia da Informação e Comunicação;OUTSOURCING DE IMPRESSAO;5860.22
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO CEARÁ;Passagens e Despesas com Locomoção;AUXILIO-TRANSPORTE ESTAGIARIOS;2030
MINISTÉRIO DA EDUCAÇÃO;COLÉGIO PEDRO II;Manutenção e Conservação de Equipamentos;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;19444.8
MINISTÉRIO DA EDUCAÇÃO;COLÉGIO PEDRO II;Apoio Administrativo, Técnico e Operacional;TAXA DE ADMINISTRACAO;1293.08
MINISTÉRIO DA EDUCAÇÃO;COLÉGIO PEDRO II;Apoio Administrativo, Técnico e Operacional;FORNECIMENTO DE ALIMENTACAO;44880
MINISTÉRIO DA EDUCAÇÃO;COLÉGIO PEDRO II;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;73466.16
MINISTÉRIO DA EDUCAÇÃO;COLÉGIO PEDRO II;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;152896.15
MINISTÉRIO DA EDUCAÇÃO;COLÉGIO PEDRO II;Apoio Administrativo, Técnico e Operacional;SERVICOS DE GAS;4001.71
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Material de Consumo;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;3592
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Material de Consumo;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;25196
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Locação de Veículos;LOCACAO DE MEIOS DE TRANSPORTE;65291.84
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Passagens e Despesas com Locomoção;LOCOMOCAO URBANA;0
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Diárias;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;335
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Apoio Administrativo, Técnico e Operacional;ESTAGIARIOS;21671.43
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;GAS E OUTROS MATERIAIS ENGARRAFADOS;737.1
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;GENEROS DE ALIMENTACAO;5786.74
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;11900
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;52350
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;1375.21
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;MATERIAL P/ MANUTENCAO DE VEICULOS;256.85
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Material de Consumo;MATERIAL DE CONSUMO - PAGTO ANTECIPADO;30940
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Passagens e Despesas com Locomoção;PASSAGENS PARA O PAIS;670599.95
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Locação de Veículos;LOCACAO DE MEIOS DE TRANSPORTE;526.5
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Passagens e Despesas com Locomoção;PEDAGIOS;1370.15
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Locação de Veículos;TRANSPORTE DE SERVIDORES;28820.58
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Diárias;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;1153675.77
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Apoio Administrativo, Técnico e Operacional;ESTAGIARIOS;59776.97
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Locação de Imóveis;LOCACAO DE IMOVEIS;31699.55
MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;COMISSÃO NACIONAL DE ENERGIA NUCLEAR;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;330260.51
MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;144273.7
MINISTÉRIO DA FAZENDA;MINISTÉRIO DA FAZENDA;Serviços de Comunicação em Geral;SERVICOS GRAFICOS E EDITORIAIS;275.36
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Apoio Administrativo, Técnico e Operacional;GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC;0
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;4077878.63
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;160375.37
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;Diárias;DIARIAS NO PAIS;1921.61
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Passagens e Despesas com Locomoção;AUXILIO-TRANSPORTE ESTAGIARIOS;4070
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Tecnologia da Informação e Comunicação;SERVICOS DE TIC PESSOA JURIDICA - PAGAMENTO ANTECIPADO;0
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Tecnologia da Informação e Comunicação;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;421.82
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;34082
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Tecnologia da Informação e Comunicação;MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES;3750
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;0
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Serviços bancários;SERVICOS BANCARIOS;33130.5
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Diárias;HOSPEDAGENS;-618.650863
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Apoio Administrativo, Técnico e Operacional;FRETES E TRANSPORTES DE ENCOMENDAS;1464.78
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Serviços de Comunicação em Geral;SERVICOS GRAFICOS E EDITORIAIS;1978.42
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Apoio Administrativo, Técnico e Operacional;SERVICO DE SELECAO E TREINAMENTO;9166.66
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Apoio Administrativo, Técnico e Operacional;SERVICOS TECNICOS PROFISSIONAIS;4091.91
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;341125.49
MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;MINISTÉRIO DO MEIO AMBIENTE E MUDANÇA DO CLIMA;Diárias;DIARIAS A CONSELHEIROS;18216.51
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;2211641.85
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;503900.25
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;752769.84
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Apoio Administrativo, Técnico e Operacional;ESTAGIARIOS;36472.34
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Locação de Veículos;TRANSPORTE DE SERVIDORES;9.1
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Passagens e Despesas com Locomoção;LOCOMOCAO URBANA;513.53
MINISTÉRIO DA CULTURA;INSTITUTO BRASILEIRO DE MUSEUS;Diárias;DIARIAS NO PAIS;475.21
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Tecnologia da Informação e Comunicação;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;222.37
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Apoio Administrativo, Técnico e Operacional;SERVICO DE SELECAO E TREINAMENTO;48979.8
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;28251.56
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;9100.35
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Locação de Máquinas e Equipamentos;LOCACAO BENS MOV. OUT.NATUREZAS E INTANGIVEIS;5525.782038
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Locação de Imóveis;LOCACAO DE IMOVEIS;184518.44
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Diárias;DIARIAS A CONSELHEIROS;28817.76
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Diárias;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;30673.74
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Locação de Veículos;TRANSPORTE DE SERVIDORES;2875.18
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Passagens e Despesas com Locomoção;PASSAGENS PARA O PAIS;636392.79
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Diárias;DIARIAS NO EXTERIOR;62391.06
MINISTÉRIO DA CULTURA;MINISTÉRIO DA CULTURA;Diárias;DIARIAS NO PAIS;108215.66
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Tecnologia da Informação e Comunicação;COMPUTACAO EM NUVEM - SOFTWARE COMO SERVICO (SAAS);111237.56
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Tecnologia da Informação e Comunicação;COMPUTACAO EM NUVEM - INFRAESTRUTURA COMO SERVICO(IAAS);24237.51
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;29272.11
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Tecnologia da Informação e Comunicação;LOCACAO DE SOFTWARES;9783.4
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;14000
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Serviços de Comunicação em Geral;SERVICOS DE COMUNICACAO EM GERAL;234.68
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Apoio Administrativo, Técnico e Operacional;SERVICOS DE GAS;67.69
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;18310.76
MINISTÉRIO DA CULTURA;FUNDAÇÃO NACIONAL DE ARTES;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;86551.61
MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;Tecnologia da Informação e Comunicação;SERVICOS DE OUTSOURCING - ALMOX VIRTUAL (IN 51/2021);5262.75
MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;291
MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;Serviços de Telecomunicações;SERVICOS DE TELECOMUNICACOES;799.43
MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;Serviços de Comunicação em Geral;SERVICOS DE COMUNICACAO EM GERAL;363.53
MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;111855.72
MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS;FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;Locação de Máquinas e Equipamentos;LOCACAO DE MAQUINAS E EQUIPAMENTOS;2053.92
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Manutenção e Conservação de Equipamentos;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;9732.89
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Manutenção e Conservação de Bens Imóveis;MANUTENCAO E CONSERV. DE BENS IMOVEIS;179.5
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Locação de Imóveis;LOCACAO DE IMOVEIS;227152.15
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Locações de Mão-de-Obra e Terceirização;SERVICOS DE COPA E COZINHA;4513.9
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Manutenção e Conservação de Bens Imóveis;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;41188.21
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;425097.38
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;224856.28
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;1027144.83
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Manutenção e Conservação de Bens Imóveis;MANUTENCAO E CONSERV. DE BENS IMOVEIS;1200
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Locação de Imóveis;LOCACAO DE IMOVEIS;10595.96
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Apoio Administrativo, Técnico e Operacional;ESTAGIARIOS;73001.96
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Diárias;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;15450
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL DE CONSUMO - PAGTO ANTECIPADO;-3907.03
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL DE SINALIZACAO VISUAL E OUTROS;170
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL P/ MANUTENCAO DE VEICULOS;3220
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL ELETRICO E ELETRONICO;2762
MINISTÉRIO DA CULTURA;INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;Material de Consumo;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;1009.74
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Serviços de Telecomunicações;SERVICOS DE TELECOMUNICACOES;20324.07
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Serviços de Comunicação em Geral;SERVICOS DE COMUNICACAO EM GERAL;3394.75
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;81265.15
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Apoio Administrativo, Técnico e Operacional;TAXA DE ADMINISTRACAO;265.66
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Manutenção e Conservação de Bens Imóveis;MANUTENCAO E CONSERV. DE BENS IMOVEIS;45574.15
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Locação de Máquinas e Equipamentos;LOCACAO DE MAQUINAS E EQUIPAMENTOS;1291.68
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Apoio Administrativo, Técnico e Operacional;ASSINATURAS DE PERIODICOS E ANUIDADES;64241.84
MINISTÉRIO DA CULTURA;AGÊNCIA NACIONAL DO CINEMA;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;88613.22
