orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Limpeza e Conservação;SERVICOS DOMESTICOS;60479.58
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;SERVICOS DE GAS;5457.39
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;392631.21
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;51832.94
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;FORNECIMENTO DE ALIMENTACAO;90963.34
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE SINALIZACAO VISUAL E OUTROS;2562.6
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;FERRAMENTAS;3141.38
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ UTILIZACAO EM GRAFICA;10374.9
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ MANUTENCAO DE VEICULOS;112878.43
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;SOBRESSAL. MAQ.E MOTORES NAVIOS E EMBARCACOES;9453.29
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ AUDIO, VIDEO E FOTO;2809
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL ELETRICO E ELETRONICO;41685.54
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;9472.7
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;904183.61
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;UNIFORMES, TECIDOS E AVIAMENTOS;11592.17
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;507714.93
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE COPA E COZINHA;139351.32
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE CAMA, MESA E BANHO;296.1
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;44761.97
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;MATERIAL DE TIC - MATERIAL DE CONSUMO;44687.68
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE EXPEDIENTE;243963.5
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ FESTIVIDADES E HOMENAGENS;5669.58
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;1787.91
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;69303.3
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;350771.8
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;14324.4
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;0
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;983795.07
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;952534.43
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;FRETES E TRANSPORTES DE ENCOMENDAS;107976.58
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;1123.23
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Serviços de Comunicação em Geral;SERVICOS GRAFICOS E EDITORIAIS;11350.54
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Serviços de Telecomunicações;SERVICOS DE TELECOMUNICACOES;50770.8
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;SERVICO DE SELECAO E TREINAMENTO;32920
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;2188.54
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;795828.5
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Manutenção e Conservação de Equipamentos;MANUTENCAO E CONSERV. DE VEICULOS;23406.14
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Manutenção e Conservação de Equipamentos;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;12162
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Manutenção e Conservação de Bens Imóveis;MANUTENCAO E CONSERV. DE BENS IMOVEIS;229029.47
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Locação de Máquinas e Equipamentos;LOCACAO DE MAQUINAS E EQUIPAMENTOS;946.7
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Locação de Imóveis;LOCACAO DE IMOVEIS;102866.49
